char,hskLevels,pinyin,hanViet,meaningShortVi,radicalStatus,radicalForm,radicalNameVi,strokeCount,formationTypeVi,formationStatus,componentCount,relatedWordCount,sentenceCount,pdfCandidatePages,qualityStatus,missing
一,"1,2,3",yī,Nhất,một,verified,一,Bộ Nhất,,,not-available,0,20,12,464,PASS,"hasStrokeCount,hasComponents,hasFormationType"
七,"1,2,3",qī,Thất,bảy,not-found,,,,,not-available,0,6,6,643,PARTIAL,"hasRadical,hasStrokeCount,hasComponents,hasFormationType"
三,"1,2,3",sān,Tam,ba,not-found,,,,,not-available,0,8,12,590,PARTIAL,"hasRadical,hasStrokeCount,hasComponents,hasFormationType"
上,"1,2",shàng,Thượng,trên,verified,一,Bộ Nhất,3,,not-available,0,20,12,709,PASS,"hasComponents,hasFormationType"
下,"1,3",xià,Hạ,sau,verified,一,Bộ Nhất,3,,not-available,0,20,12,248,PASS,"hasComponents,hasFormationType"
不,1,bù,Bất,không,verified,一,Bộ Nhất,4,,not-available,0,20,12,40,PASS,"hasComponents,hasFormationType"
东,"1,3",dōng,Hốc / Đông,đông,not-found,,,,,not-available,0,10,12,221,PARTIAL,"hasRadical,hasStrokeCount,hasComponents,hasFormationType"
丢,"1,3",diū,Điêu,"đánh rơi, mất",verified,一,Bộ Nhất,6,hội ý,needs-review,2,6,4,,PASS,hasPdfCandidate
两,"1,2,3",liǎng,Lưỡng,hai,not-found,,,,,not-available,0,7,12,,PARTIAL,"hasRadical,hasStrokeCount,hasComponents,hasFormationType,hasPdfCandidate"
个,"1,2,3",gè,Cá,"miếng, đơn vị",not-found,,,,,not-available,0,9,12,60,PARTIAL,"hasRadical,hasStrokeCount,hasComponents,hasFormationType"
中,1,zhōng,Trung,trong,verified,丨,"Bộ Thụ, Cổn",4,,not-available,0,20,12,616,PASS,"hasComponents,hasFormationType"
九,"1,2,3",jiǔ,Cửu,chín,not-found,,,,,not-available,0,6,6,152,PARTIAL,"hasRadical,hasStrokeCount,hasComponents,hasFormationType"
也,"1,2,3",yě,Dã,cũng,not-found,,,,,not-available,0,6,12,,PARTIAL,"hasRadical,hasStrokeCount,hasComponents,hasFormationType,hasPdfCandidate"
书,"1,3",shū,Thư,sách,verified,聿,Bộ Duật,,hình thanh,source-backed,2,10,12,"402,696",PASS,hasStrokeCount
买,"1,2",mǎi,Mãi,mua,verified,网,Bộ Võng,6,,not-available,2,6,12,385,PASS,hasFormationType
了,"1,2",le,Liễu,"trợ từ ""le""",not-found,,,2,,not-available,0,10,12,,PARTIAL,"hasRadical,hasComponents,hasFormationType,hasPdfCandidate"
事,1,shì,Sự,việc,verified,亅,Bộ Quyết,8,,not-available,2,16,12,,PASS,"hasFormationType,hasPdfCandidate"
二,"1,2,3",èr,Nhì,hai,verified,二,Bộ Nhị,,,not-available,0,7,12,"470,616",PASS,"hasStrokeCount,hasComponents,hasFormationType"
五,"1,2,3",wǔ,Ngũ,năm,not-found,,,,,not-available,0,9,12,444,PARTIAL,"hasRadical,hasStrokeCount,hasComponents,hasFormationType"
些,"1,3",xiē,Ta,một vài,not-found,此,,,hội ý,needs-review,2,6,12,,PARTIAL,"hasRadical,hasStrokeCount,hasPdfCandidate"
人,"1,3",rén,Nhân,người,verified,人,Bộ Nhân,2,,not-available,0,20,12,455,PASS,"hasComponents,hasFormationType"
从,"1,2",cóng,Tòng,từ,not-found,,,,,not-available,0,8,12,744,PARTIAL,"hasRadical,hasStrokeCount,hasComponents,hasFormationType"
他,"1,2,3",tā,Tha,anh ấy,verified,亻,Bộ Nhân,,hình thanh,source-backed,2,6,12,,PASS,"hasStrokeCount,hasPdfCandidate"
们,1,men,Món,một hậu tố chỉ số nhiều,verified,亻,Bộ Nhân,5,hình thanh,source-backed,2,7,12,,PASS,hasPdfCandidate
件,"1,2,3",jiàn,Kiện,"cái, chiếc",verified,亻,Bộ Nhân,,hội ý,needs-review,2,8,12,,PASS,"hasStrokeCount,hasPdfCandidate"
会,"1,2,3",huì,Hội,có thể,verified,人,Bộ Nhân,6,,not-available,0,20,12,,PASS,"hasComponents,hasFormationType,hasPdfCandidate"
伞,"1,3",sǎn,Tàn,cái ô,verified,人,Bộ Nhân,6,,not-available,0,6,5,,PASS,"hasComponents,hasFormationType,hasPdfCandidate"
住,"1,3",zhù,Trú,"Sống, cư trú",verified,亻,Bộ Nhân,,hình thanh,reviewed,2,9,12,,PASS,"hasStrokeCount,hasPdfCandidate"
你,"1,2,3",nǐ,Nể,bạn,verified,亻,Bộ Nhân,,hình thanh,source-backed,2,6,12,,PASS,"hasStrokeCount,hasPdfCandidate"
倒,"1,2",dǎo,Đảo,"ngã, đổ",verified,亻,Bộ Nhân,10,hình thanh,source-backed,2,6,7,,PASS,hasPdfCandidate
借,"1,2,3",jiè,Tá,"vay, mượn",verified,亻,Bộ Nhân,10,hình thanh,source-backed,2,6,1,,PASS,hasPdfCandidate
