char,tier,status,inputForm,mainForm,radicalName,kangxiNo,resolutionType,source
㐄,C,not-resolved,,,,,not-resolved,data/chars/3404.json
㐅,C,not-resolved,,,,,not-resolved,data/chars/3405.json
㐆,C,not-resolved,,,,,not-resolved,data/chars/3406.json
㐌,B,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/340C.json
㐖,C,not-resolved,,,,,not-resolved,data/chars/3416.json
㐜,C,not-resolved,,,,,not-resolved,data/chars/341C.json
㐡,C,not-resolved,,,,,not-resolved,data/chars/3421.json
㐤,C,not-resolved,,,,,not-resolved,data/chars/3424.json
㐫,C,not-resolved,,,,,not-resolved,data/chars/342B.json
㐬,C,not-resolved,,,,,not-resolved,data/chars/342C.json
㐭,C,not-resolved,,,,,not-resolved,data/chars/342D.json
㐰,C,not-resolved,,,,,not-resolved,data/chars/3430.json
㐱,C,resolved,彡,彡,Bộ Sam,59,record-radical,data/chars/3431.json
㐷,C,not-resolved,,,,,not-resolved,data/chars/3437.json
㐺,C,not-resolved,,,,,not-resolved,data/chars/343A.json
㑇,C,not-resolved,,,,,not-resolved,data/chars/3447.json
㑩,B,resolved,亻,人,Bộ Nhân,9,record-radical,data/chars/3469.json
㒳,C,not-resolved,,,,,not-resolved,data/chars/34B3.json
㒸,B,resolved,八,八,Bộ Bát,12,record-radical,data/chars/34B8.json
㒼,C,not-resolved,◎,,,,not-resolved,data/chars/34BC.json
㓞,C,resolved,刀,刀,Bộ Đao,18,record-radical,data/chars/34DE.json
㔾,C,not-resolved,,,,,not-resolved,data/chars/353E.json
㕡,C,not-resolved,,,,,not-resolved,data/chars/3561.json
㕥,C,not-resolved,,,,,not-resolved,data/chars/3565.json
㕯,C,not-resolved,,,,,not-resolved,data/chars/356F.json
㕻,C,not-resolved,,,,,not-resolved,data/chars/357B.json
㖊,C,not-resolved,,,,,not-resolved,data/chars/358A.json
㖞,C,not-resolved,,,,,not-resolved,data/chars/359E.json
㗂,C,not-resolved,,,,,not-resolved,data/chars/35C2.json
㗎,C,not-resolved,,,,,not-resolved,data/chars/35CE.json
㚔,C,not-resolved,,,,,not-resolved,data/chars/3694.json
㚻,C,not-resolved,,,,,not-resolved,data/chars/36BB.json
㛀,C,not-resolved,,,,,not-resolved,data/chars/36C0.json
㛂,C,not-resolved,,,,,not-resolved,data/chars/36C2.json
㝄,C,not-resolved,,,,,not-resolved,data/chars/3744.json
㝇,C,not-resolved,,,,,not-resolved,data/chars/3747.json
㝉,B,resolved,宀,宀,Bộ Miên,40,record-radical,data/chars/3749.json
㝵,B,resolved,貝,貝,Bộ Bối,154,record-radical,data/chars/3775.json
㞎,C,not-resolved,,,,,not-resolved,data/chars/378E.json
㞗,C,not-resolved,,,,,not-resolved,data/chars/3797.json
㞙,C,not-resolved,,,,,not-resolved,data/chars/3799.json
㟥,C,not-resolved,,,,,not-resolved,data/chars/37E5.json
㡭,C,not-resolved,,,,,not-resolved,data/chars/386D.json
㡿,C,not-resolved,,,,,not-resolved,data/chars/387F.json
㢆,C,not-resolved,,,,,not-resolved,data/chars/3886.json
㢟,C,not-resolved,,,,,not-resolved,data/chars/389F.json
㢲,C,not-resolved,,,,,not-resolved,data/chars/38B2.json
㢴,C,not-resolved,,,,,not-resolved,data/chars/38B4.json
㣎,C,not-resolved,,,,,not-resolved,data/chars/38CE.json
㤅,C,not-resolved,,,,,not-resolved,data/chars/3905.json
㤽,C,not-resolved,,,,,not-resolved,data/chars/393D.json
㥁,C,not-resolved,,,,,not-resolved,data/chars/3941.json
㥏,C,not-resolved,,,,,not-resolved,data/chars/394F.json
㥯,B,resolved,心,心,Bộ Tâm,61,record-radical,data/chars/396F.json
㦂,C,not-resolved,,,,,not-resolved,data/chars/3982.json
㧑,C,not-resolved,,,,,not-resolved,data/chars/39D1.json
㧜,C,not-resolved,,,,,not-resolved,data/chars/39DC.json
㧯,C,not-resolved,,,,,not-resolved,data/chars/39EF.json
㧰,C,not-resolved,,,,,not-resolved,data/chars/39F0.json
㨃,C,not-resolved,,,,,not-resolved,data/chars/3A03.json
㨫,C,not-resolved,,,,,not-resolved,data/chars/3A2B.json
㩐,C,not-resolved,,,,,not-resolved,data/chars/3A50.json
㪃,C,not-resolved,,,,,not-resolved,data/chars/3A83.json
㪋,C,not-resolved,,,,,not-resolved,data/chars/3A8B.json
㫃,C,not-resolved,,,,,not-resolved,data/chars/3AC3.json
㫺,C,not-resolved,,,,,not-resolved,data/chars/3AFA.json
㬎,C,not-resolved,,,,,not-resolved,data/chars/3B0E.json
㮎,C,not-resolved,,,,,not-resolved,data/chars/3B8E.json
㮚,C,not-resolved,,,,,not-resolved,data/chars/3B9A.json
㮸,C,not-resolved,,,,,not-resolved,data/chars/3BB8.json
㯳,C,not-resolved,,,,,not-resolved,data/chars/3BF3.json
㱩,C,not-resolved,,,,,not-resolved,data/chars/3C69.json
㱮,C,not-resolved,,,,,not-resolved,data/chars/3C6E.json
㱾,C,not-resolved,,,,,not-resolved,data/chars/3C7E.json
㲈,C,not-resolved,,,,,not-resolved,data/chars/3C88.json
㲋,C,not-resolved,,,,,not-resolved,data/chars/3C8B.json
㲱,C,not-resolved,,,,,not-resolved,data/chars/3CB1.json
㲾,C,not-resolved,,,,,not-resolved,data/chars/3CBE.json
㳂,C,not-resolved,,,,,not-resolved,data/chars/3CC2.json
㳮,C,not-resolved,,,,,not-resolved,data/chars/3CEE.json
㴋,C,not-resolved,,,,,not-resolved,data/chars/3D0B.json
㵪,C,not-resolved,,,,,not-resolved,data/chars/3D6A.json
㵮,C,not-resolved,,,,,not-resolved,data/chars/3D6E.json
㶉,C,not-resolved,,,,,not-resolved,data/chars/3D89.json
㶶,C,not-resolved,,,,,not-resolved,data/chars/3DB6.json
㶸,C,not-resolved,,,,,not-resolved,data/chars/3DB8.json
㷖,C,not-resolved,,,,,not-resolved,data/chars/3DD6.json
㷭,C,not-resolved,,,,,not-resolved,data/chars/3DED.json
㹠,C,not-resolved,,,,,not-resolved,data/chars/3E60.json
㹢,C,not-resolved,,,,,not-resolved,data/chars/3E62.json
㹴,C,not-resolved,,,,,not-resolved,data/chars/3E74.json
㺍,C,not-resolved,,,,,not-resolved,data/chars/3E8D.json
㺢,C,not-resolved,,,,,not-resolved,data/chars/3EA2.json
㺵,C,not-resolved,,,,,not-resolved,data/chars/3EB5.json
㻅,C,not-resolved,,,,,not-resolved,data/chars/3EC5.json
㻽,C,not-resolved,,,,,not-resolved,data/chars/3EFD.json
㼌,C,not-resolved,,,,,not-resolved,data/chars/3F0C.json
㽮,C,not-resolved,,,,,not-resolved,data/chars/3F6E.json
㿝,C,not-resolved,,,,,not-resolved,data/chars/3FDD.json
㿽,C,resolved,皿,皿,Bộ Mãnh,108,record-radical,data/chars/3FFD.json
䁖,B,resolved,目,目,Bộ Mục,109,record-radical,data/chars/4056.json
䂖,C,not-resolved,,,,,not-resolved,data/chars/4096.json
䂲,C,not-resolved,,,,,not-resolved,data/chars/40B2.json
䂶,C,not-resolved,,,,,not-resolved,data/chars/40B6.json
䃉,C,not-resolved,,,,,not-resolved,data/chars/40C9.json
䅟,C,not-resolved,,,,,not-resolved,data/chars/415F.json
䅵,C,not-resolved,,,,,not-resolved,data/chars/4175.json
䇂,C,not-resolved,,,,,not-resolved,data/chars/41C2.json
䇲,C,not-resolved,,,,,not-resolved,data/chars/41F2.json
䉤,C,not-resolved,,,,,not-resolved,data/chars/4264.json
䌷,C,not-resolved,,,,,not-resolved,data/chars/4337.json
䌸,C,not-resolved,,,,,not-resolved,data/chars/4338.json
䌹,C,not-resolved,,,,,not-resolved,data/chars/4339.json
䌽,B,resolved,糹,糸,Bộ Mịch,120,record-radical,data/chars/433D.json
䍁,C,not-resolved,,,,,not-resolved,data/chars/4341.json
